state,year,ev_count,ports_total,population,gas_real_2023,ev_per_1000,ports_per_100k
Oregon,2022,47000,2475.0,4247372.0,4.21682,11.065666016539168,58.2713263636903
Pennsylvania,2022,47400,3251.0,12984990.0,4.21682,3.650368617919613,25.036599951174395
Rhode Island,2022,4300,783.0,1099498.0,4.21682,3.9108756905424107,71.21431780685367
South Carolina,2022,13500,978.0,5287935.0,4.21682,2.552981456844685,18.49493233180816
South Dakota,2022,1200,176.0,909723.0,4.21682,1.3190828417001659,19.346548344935766
Tennessee,2022,22000,1683.0,7062217.0,4.21682,3.115169075093558,23.83104342446572
Texas,2022,149000,6332.0,30113488.0,4.21682,4.947948905819213,21.02712246419279
Utah,2022,28000,1853.0,3391011.0,4.21682,8.257124497679305,54.64447033642769
Vermont,2022,5300,898.0,648142.0,4.21682,8.17722042391945,138.54988567320123
Virginia,2022,56600,3643.0,8683414.0,4.21682,6.5181736123603,41.95354499969712
Washington,2022,104100,4533.0,7794123.0,4.21682,13.356217242145139,58.15920533971558
West Virginia,2022,1900,385.0,1774122.0,4.21682,1.0709522794937438,21.700875137110074
Wisconsin,2022,15700,1101.0,5903975.0,4.21682,2.6592253524108753,18.648452949072446
Wyoming,2022,800,214.0,581978.0,4.21682,1.3746224084071907,36.77114942489235
United States,2022,2442300,,,4.21682,,
Alabama,2023,13000,1096.0,5117673.0,3.5,2.5402170087850475,21.41598339714163
Alaska,2023,2700,124.0,736510.0,3.5,3.6659380049150725,16.83615972627663
Arizona,2023,89800,3506.0,7473027.0,3.5,12.016549652503597,46.9153931867234
Arkansas,2023,7100,833.0,3069463.0,3.5,2.3131081886310407,27.138297480699393
California,2023,1256600,49433.0,39198693.0,3.5,32.057191294617915,126.10879653563958
Colorado,2023,90100,5432.0,5901339.0,3.5,15.267721444234944,92.04690664271278
Connecticut,2023,31600,2547.0,3643023.0,3.5,8.67411487657366,69.91446389440857
Delaware,2023,8400,523.0,1036423.0,3.5,8.104798909325632,50.462021780682214
District of Columbia,2023,8100,,687324.0,3.5,11.78483509960368,
Florida,2023,254900,9763.0,22904868.0,3.5,11.128638680650768,42.62412688865965
Georgia,2023,92400,4994.0,11064432.0,3.5,8.351083905617568,45.13562015655209
Hawaii,2023,25600,860.0,1441387.0,3.5,17.760670798335212,59.66475346315737
Idaho,2023,8500,517.0,1971122.0,3.5,4.312264791321897,26.228716436628478
Illinois,2023,99600,3510.0,12642259.0,3.5,7.878338831691393,27.76402540084015
Indiana,2023,26100,1533.0,6880131.0,3.5,3.79353241965887,22.28155248788141
Iowa,2023,9000,855.0,3218414.0,3.5,2.796408417313621,26.5658799644794
Kansas,2023,11300,1196.0,2951500.0,3.5,3.8285617482635947,40.52176859224123
Kentucky,2023,11600,849.0,4550595.0,3.5,2.5491172033547262,18.656900910760022
Louisiana,2023,8200,709.0,4588071.0,3.5,1.78724348424425,15.453117443038698
Maine,2023,7400,1084.0,1399646.0,3.5,5.287051154363318,77.44815474770049
Maryland,2023,72100,5022.0,6217062.0,3.5,11.597117738249997,80.77770496739457
Massachusetts,2023,73800,7032.0,7066568.0,3.5,10.443542041907754,99.51082335866576
Michigan,2023,50300,3352.0,10083356.0,3.5,4.988418538431054,33.24290047876917
Minnesota,2023,37100,1995.0,5753048.0,3.5,6.448755511860843,34.67727020528944
Mississippi,2023,3600,551.0,2943172.0,3.5,1.2231701035481446,18.72129797375077
Missouri,2023,26900,2703.0,6208038.0,3.5,4.333092033263972,43.54032626733277
Montana,2023,4600,347.0,1131302.0,3.5,4.066111436203595,30.672623225274947
Nebraska,2023,6900,554.0,1987864.0,3.5,3.471062406683757,27.869109758011614
Nevada,2023,47400,1987.0,3214363.0,3.5,14.746312099784623,61.81629143939251
New Hampshire,2023,9900,597.0,1402199.0,3.5,7.060338796419053,42.57598243901187
New Jersey,2023,134800,3723.0,9379642.0,3.5,14.37155064127181,39.69234646695471
New Mexico,2023,10300,695.0,2121164.0,3.5,4.855824443560234,32.76502901237245
New York,2023,131300,11114.0,19737367.0,3.5,6.652356416131899,56.30943580265797
North Carolina,2023,70200,4204.0,10881189.0,3.5,6.451500842417129,38.63548367738121
North Dakota,2023,1000,209.0,789047.0,3.5,1.2673516279765338,26.487649024709558
Ohio,2023,50400,3653.0,11824034.0,3.5,4.262504657885794,30.89470141916033
Oklahoma,2023,22800,1363.0,4063882.0,3.5,5.610399120840615,33.539359656604205
Oregon,2023,64400,3190.0,4253653.0,3.5,15.13992796309431,74.99436366812243
Pennsylvania,2023,70200,4293.0,13017721.0,3.5,5.392648989788612,32.97812266832267
Rhode Island,2023,6400,817.0,1103429.0,3.5,5.800101320519943,74.0419184197624
South Carolina,2023,20900,1374.0,5387830.0,3.5,3.8791127411221216,25.50191821197031
South Dakota,2023,1700,232.0,918305.0,3.5,1.8512367895198218,25.263937362858748
Tennessee,2023,33200,2225.0,7148304.0,3.5,4.644458321862081,31.1262643558528
Texas,2023,230100,8637.0,30727890.0,3.5,7.488311107596388,28.10801522655802
Utah,2023,40000,2185.0,3443222.0,3.5,11.617026145859894,63.45800532175968
Vermont,2023,7800,978.0,648708.0,3.5,12.023899813167095,150.76120534971048
Virginia,2023,84900,4565.0,8734685.0,3.5,9.719869691923636,52.26290358496041
Washington,2023,152100,5817.0,7857320.0,3.5,19.357745389013047,74.03287634969683
West Virginia,2023,2800,446.0,1770495.0,3.5,1.5814786260339622,25.19069525754097
Wisconsin,2023,24900,1398.0,5930405.0,3.5,4.198701437760152,23.573432168629292
Wyoming,2023,1100,252.0,585067.0,3.5,1.8801265496088482,43.07199004558452
United States,2023,3555900,,,3.5,,
